Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE40090865215464,Thu Jan 30 12:14:01 CET 2020,-4973.62,EUR,Ipsa odio et.
Jos,BE69771770897312,BE97461325305644,Tue Feb 11 11:14:06 CET 2020,3479.68,EUR,Non labore debitis velit nam voluptatem hic excepturi.
Jos,BE69771770897312,BE56650781898162,Thu Jan 23 14:30:06 CET 2020,4539.55,EUR,Labore aut illum aut est et officiis.
Jos,BE69771770897312,BE23016016975402,Thu Feb 13 10:54:32 CET 2020,-2546.69,EUR,Et voluptatibus quia.
Jos,BE69771770897312,BE59871205198046,Sat Jan 25 14:34:07 CET 2020,2003.69,EUR,Adipisci culpa numquam autem recusandae qui.
Jos,BE69771770897312,BE29309426722432,Mon Feb 10 15:52:07 CET 2020,4117.54,EUR,Accusantium est qui saepe id.
Jos,BE69771770897312,BE53843549210673,Mon Feb 10 07:49:32 CET 2020,-2331.25,EUR,Animi laboriosam aliquid maxime pariatur aut doloremque maxime.
Jos,BE69771770897312,BE23389967410042,Tue Feb 18 21:33:19 CET 2020,4993.26,EUR,Inventore numquam minus nobis aut quasi voluptas est.
Jos,BE69771770897312,BE02940574039129,Thu Feb 20 03:37:15 CET 2020,-4811.99,EUR,Animi saepe alias temporibus veritatis.
Jos,BE69771770897312,BE59662951395500,Wed Feb 19 19:05:23 CET 2020,3692.15,EUR,Ut repudiandae nobis sed fugit quia unde.
Jos,BE69771770897312,BE41227351839646,Wed Feb 12 22:36:22 CET 2020,188.93,EUR,Omnis voluptatibus impedit accusamus odio odit.
Jos,BE69771770897312,BE62635027851313,Thu Feb 20 04:45:37 CET 2020,-608.46,EUR,Eveniet consectetur voluptas.
Jos,BE69771770897312,BE69231350125404,Tue Feb 18 17:11:35 CET 2020,848.21,EUR,Saepe repudiandae ullam velit et.
Jos,BE69771770897312,BE53801023761355,Sun Feb 02 01:14:01 CET 2020,4573.43,EUR,Harum aliquid magni voluptatum deserunt eligendi dolorem delectus.
Jos,BE69771770897312,BE06380184339839,Thu Feb 20 05:37:12 CET 2020,4373.29,EUR,Sint voluptatem aut repellendus.
Jos,BE69771770897312,BE22458224646704,Wed Feb 19 03:13:38 CET 2020,3163.2,EUR,Non magnam dolorum.
Jos,BE69771770897312,BE98992188250143,Wed Feb 19 14:30:10 CET 2020,-3777.73,EUR,Nemo aliquam vel.
Jos,BE69771770897312,BE74033297665619,Wed Feb 19 06:42:51 CET 2020,4964.86,EUR,Distinctio nemo impedit aut.
Jos,BE69771770897312,BE24213818493557,Sun Feb 16 21:48:28 CET 2020,1140.82,EUR,A vel accusamus est sapiente aliquid.
Jos,BE69771770897312,BE60227867254333,Thu Jan 30 15:38:48 CET 2020,3241.23,EUR,Rerum quia ullam unde.
Jos,BE69771770897312,BE69525331861463,Tue Feb 18 01:04:28 CET 2020,-4907.22,EUR,A provident necessitatibus.
Jos,BE69771770897312,BE82846234239118,Wed Feb 05 11:55:58 CET 2020,-2011.63,EUR,Dignissimos sit et odit qui.
Jos,BE69771770897312,BE52703203937549,Tue Feb 18 20:17:34 CET 2020,-1122.41,EUR,Sit rerum architecto aut.
